English,Bangali
I,আমি
you,আপনি
the,দ্য
to,প্রতি
a,একটি
it,এটা
and,এবং
that,যে
of,এর মধ্যে
is,হয়
in,ভিতরে
we,আমরা
me,আমাকে
this,এই
he,তিনি
for,জন্য
my,আমার
on,চালু/উপর
have,আছে
your,তোমার
do,করা
was,ছিল
no,না
not,না
be,থাকা
are,হয়
don,ডন
re,আবার
know,জানুন
can,করতে পারা
with,সঙ্গে
but,কিন্তু
all,সব
so,তাই
just,ঠিক
there,সেখানে
here,এখানে
they,তারা
like,যেমন
get,পাওয়া
she,তিনি
go,যাওয়া
if,যদি
right,ঠিক আছে
out,আউট
about,সম্পর্কিত
up,আপ
at,এ
him,তাকে
now,এখন
oh,উহু
one,এক
come,আসা
well,ভাল
her,তার
how,কিভাবে
yeah,হ্যাঁ
will,ইচ্ছাশক্তি
got,পেয়েছিলাম
want,চান
think,চিন্তা করুন
as,যেমন
see,দেখা
did,করেছিল
good,ভাল
who,কে
why,কেন
from,থেকে
let,দিন
his,তার
yes,হ্যাঁ
when,কখন
going,যাচ্ছে
time,সময়
an,একটি
okay,ঠিক আছে
back,পেছনে
look,দেখো
us,আমাদের
would,হবে
them,তাদের
where,কোথায়
were,ছিল
take,গ্রহণ করা
then,তারপর
had,ছিল
or,অথবা
been,হয়েছে
our,আমাদের
gonna,যাচ্ছি
tell,বলুন
really,সত্যিই
man,মানুষ
some,কিছু
say,বলুন
hey,হেই
could,হতে পারে
didn,করেনি
by,দ্বারা
need,প্রয়োজন
something,কিছু
has,আছে
too,খুব
more,আরো
way,উপায়
down,নিচে
make,করা
very,খুবই
never,না
only,কেবল
people,মানুষ
over,উপর
because,কারণ
little,সামান্য
please,অনুগ্রহ
love,ভালবাসা
should,উচিত
mean,মানে
said,বলেন
sorry,দুঃখিত
give,দিন
off,বন্ধ
am,আমি
thank,ধন্যবাদ
any,কোন
two,দুই
even,এমন কি
much,অনেক
doing,করছেন
sure,নিশ্চিত
thing,জিনিস
these,এইগুলো
help,সাহায্য করুন
first,প্রথমত
into,মধ্যে
anything,কিছু
still,এখনও
find,অনুসন্ধান
life,জীবন
nothing,কিছুই না
sir,স্যার
day,দিন
god,সৃষ্টিকর্তা
work,কাজ
their,তাদের
again,আবার
maybe,হতে পারে
must,অবশ্যই
before,আগে
other,অন্যান্য
wait,অপেক্ষা করুন
stop,বন্ধ করুন
call,কল করুন
after,পরে
won,জিতেছে
talk,আলাপ
away,দূরে
than,তুলনায়
thought,চিন্তা
home,বাড়ি
night,রাত্রি
put,করা
great,মহান
those,সেগুলো
last,শেষ পর্যন্ত
better,উত্তম
everything,সবকিছু
told,বলা হয়
mr.,জনাব
new,নতুন
things,জিনিসগুলি
always,সর্বদা
keep,রাখা
long,দীর্ঘ সময়
years,বছরগুলোতে
leave,ত্যাগ করুন
does,আছে
money,টাকা
around,কাছাকাছি
doesn,করে না
name,নামকরণ
place,স্থান
ever,কখনও
feel,অনুভব করা
guys,বন্ধুরা
father,পিতা
guy,লোক
made,তৈরি
old,পুরাতন
isn,তা নয়
which,যা
big,বিশাল
lot,অনেক
done,সম্পন্ন
hello,হ্যালো
nice,সুন্দর
believe,বিশ্বাস করি
girl,মেয়েটি
someone,কেউ কেউ
fine,জরিমানা
thanks,ধন্যবাদ
wanted,চেয়েছিলেন
kind,সদয়
coming,আসছে
house,গৃহ
every,প্রতি
ok,ঠিক আছে
through,মাধ্যম
being,হচ্ছে
course,কোর্স
stay,থাকা
left,বামে
dad,বাবা
enough,যথেষ্ট
happened,ঘটেছিলো
came,এসেছিলেন
may,মে
mother,মা
wrong,ভুল
world,বিশ্ব
bad,খারাপ
might,হতে পারে
three,তিন
today,আজ
listen,শুনুন
another,আরেকটি
understand,বোঝা
hear,শুনুন
remember,মনে রাখবেন
ask,জিজ্ঞাসা করুন
own,নিজস্ব
same,একই
show,শো
else,অন্যথায়
kill,হত্যা করুন
talking,কথা বলছে
found,খুঁজে পাওয়া যায় নি
next,পরবর্তী
getting,পেয়ে
care,যত্ন
car,গাড়ী
looking,খুঁজছি
son,পুত্র
try,চেষ্টা করুন
woman,নারী
went,গিয়েছিলাম
hi,ওহে
dead,মৃত
many,অনেক
mind,মন
wasn,ছিল না
friend,বন্ধু
best,শ্রেষ্ঠ
mom,মা
hell,জাহান্নাম
morning,সকাল
trying,চেষ্টা করছে
boy,ছেলে
together,একসাথে
yourself,নিজেকে
job,কাজ
saw,দেখেছি
family,পরিবার
real,বাস্তব
without,ছাড়া
baby,শিশুর
room,রুম
wouldn,হবে না
already,ইতিমধ্যে
move,সরানো
most,সর্বাধিক
seen,দেখা যায়
live,লাইভ দেখান
miss,হারানো
actually,প্রকৃতপক্ষে
huh,হাহ
shit,শিট
both,উভয়ই
heard,শুনেছি
once,একদা
ready,প্রস্তুত
head,মাথা
called,বলা হয়
used,ব্যবহৃত
idea,ধারণা
knew,জানতাম
hold,রাখা
happy,সুখী
door,দরজা
such,যেমন
fuck,fuck
brother,ভাই
also,এছাড়াও
pretty,সুন্দর
bit,বিট
took,গ্রহণ করা হয়
haven,করেনি
yet,এখনো
men,পুরুষদের
whole,পুরো
start,শুরু করুন
use,ব্যবহার করুন
while,যখন
since,থেকে
wife,স্ত্রী
days,দিন
guess,অনুমান করুন
tomorrow,আগামীকাল
matter,ব্যাপার
meet,সম্মেলন
bring,আনা
tonight,আজ রাতে
everyone,সবাই
run,চালানো
wanna,চান
hard,কঠিন
ah,আহ
alone,একা
myself,নিজেকে
school,বিদ্যালয়
gone,সর্বস্বান্ত
um,উম
end,শেষ
saying,বলছে
phone,ফোন
play,খেলুন
looks,দেখায়
couldn,পারে না
problem,সমস্যা
few,কয়েক
friends,বন্ধুরা
gotta,হবে
ago,আগে
open,খুলুন
anyone,যে কেউ
killed,নিহত
hope,আশা করি
face,মুখোমুখি
until,পর্যন্ত পর্যন্ত
lost,নিখোঁজ
police,পুলিশ
excuse,অজুহাত
turn,চালু করুন
business,ব্যবসায়
case,কেস
wants,চায়
says,বলেছেন
true,সত্যি
die,মরা
heart,হৃদয়
soon,শীঘ্রই
each,প্রতিটি
worry,চিন্তাশীল
later,পরে
year,বছর
watch,ঘড়ি
music,সঙ্গীত
hand,হাত
having,হচ্ছে
probably,সম্ভবত
beautiful,সুন্দর
doctor,ডাক্তার
sit,বসা
eat,খাওয়া
thinking,চিন্তাভাবনা
young,তরুণ
second,দ্বিতীয়
working,কাজ করে
water,পানি
person,ব্যক্তি
part,অংশ
kids,বাচ্চারা
late,দেরী
stuff,জিনিসপত্র
exactly,ঠিক
under,অধীন
death,মৃত্যু
minute,মিনিট
pay,পরিশোধ
crazy,ক্রেজি
forget,ভুলে যাও
everybody,সবাই
kid,বাচ্চা
change,পরিবর্তন
gave,দিয়েছেন
happen,ঘটবে
damn,অভিশাপ
five,পাঁচ
drink,পান করা
far,দূরে
knows,জানে
its,এটা
whatever,যাই হোক
eyes,চোখ
shut,বন্ধ করুন
aren,অরেন
hit,হিট
taking,গ্রহণ করা
easy,সহজে
times,টাইমস
check,চেক করুন
hands,হাত
minutes,মিনিট
deal,ডিল
different,ভিন্ন
means,মানে
point,বিন্দু
inside,ভিতরে
makes,তোলে
asked,জিজ্ঞাসা
somebody,কেউ
mine,খনি
making,তৈরি করা
body,শরীর
afraid,ভীত
sleep,ঘুম
chance,সম্ভাবনা
dear,প্রিয়
quite,বেশ
four,চার
anyway,যাইহোক
close,বন্ধ
ain,হয় না
party,পার্টি
fun,মজা
against,বিরুদ্ধে
word,শব্দটি
comes,আসে
important,গুরুত্বপূর্ণ
set,সেট করুন
shall,হবে
story,গল্প
number,সংখ্যা
daughter,কন্যা
least,অন্তত
waiting,অপেক্ষা করছে
hurt,আঘাত
wish,কামনা
moment,মুহূর্তে
fight,ফাটল
week,সপ্তাহ
husband,স্বামী
girls,মেয়েরা
rest,বিশ্রাম
married,বিবাহিত
fire,আগুন
game,খেলা
nobody,কেউ না
children,শিশুদের
side,সাইড
stand,স্ট্যান্ড
read,পড়ুন
though,যদিও
cut,কাটা
started,শুরু করলাম
sister,বোন
supposed,অনুমিত
between,মধ্যে
child,শিশু
goes,যায়
hours,ঘন্টার
speak,বলুন
women,নারী
behind,পিছনে
almost,প্রায়শই
truth,সত্য
blood,রক্ত
able,সক্ষম
lady,লেডি
anymore,আর
playing,খেলি
gets,পায়
shot,শট
reason,কারণ
trouble,কষ্ট
break,বিরতি
war,যুদ্ধ
city,শহর
walk,হাঁটা
town,শহর
trust,বিশ্বাস
dr.,ডাঃ
met,মিলিত
office,দপ্তর
question,প্রশ্নঃ
brought,আনা
yours,আপনার
welcome,স্বাগত
high,উচ্চ
wow,কি দারুন
couple,দম্পতি
half,অর্ধেক
died,মারা যান
cool,শীতল
free,বিনামূল্যে
either,হয়
seems,মনে হয়
power,শক্তি
whoa,হুয়া
bye,বিদায়
buy,কেনা
telling,বলছেন
honey,মধু
tried,চেষ্টা করেছিলাম
front,সামনে
team,টীম
answer,উত্তর
gun,বন্দুক
boys,ছেলেদের
line,লাইন
send,পাঠান
news,সংবাদ
stupid,মূঢ়
bed,বিছানা
hurry,তাড়াতাড়ি
full,সম্পূর্ণ
months,মাস
save,সংরক্ষণ
sometimes,কখনও কখনও
become,হয়ে
along,বরাবর
hate,ঘৃণা
food,খাদ্য
outside,বাইরে
light,আলো
needs,চাহিদা
dog,কুকুর
country,দেশ
clear,পরিষ্কার
order,আদেশ
em,EM
fact,সত্য
lord,প্রভু
captain,ক্যাপ্টেন
six,ছয়
hot,গরম
funny,হাস্যকর
black,কালো
mrs,জনাবা
alive,জীবিত
pick,বাছাই করুন
feeling,অনুভব করছি
living,জীবিত
cause,কারণ
ahead,এগিয়ে
lose,হারান
king,রাজা
plan,পরিকল্পনা
dinner,ডিনার
sighs,Sighs
sort,সাজান
leaving,ছেড়ে চলে যাওয়া
shouldn,উচিত নয়
running,চলমান
boss,বস
alright,ঠিক আছে
promise,প্রতিশ্রুতি
taken,গ্রহণ করা
safe,নিরাপদ
ma,মা
book,বুক
sent,পাঠানো হয়েছে
white,হোয়াইট
hour,ঘন্টা
anybody,যে কেউ
small,ছোট
perfect,নিখুঁত
cause,কারণ
lives,জীবন
special,বিশেষ করে
parents,বাবা-মা
john,জন
himself,নিজেকে
perhaps,সম্ভবত
sounds,সাউন্ড
serious,গুরুতর
sick,অসুস্থ
company,প্রতিষ্ঠান
ha,হা
scared,ভীত
uncle,চাচা
poor,দরিদ্র
